channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L1 670nm,Centroid + vendor TIR,57.0,False,43.57848333333333,56.96208333333333,100,89.4232336884422,4.974677259639914,94.39791094808211,0.010332249067779789,96.78434902604238,1.6130724837673729,48.41081663253715,51.00695664341659,0.0012400534179015554,0.982780817344471,0.5257552785056295,False,True,False
L1 670nm,Centroid + vendor TIR,58.0,False,43.57848333333333,57.90773333333333,107,89.40231025096072,4.927002284623497,94.32931253558422,0.010720615736114495,93.27822436833586,1.5546370728055976,48.235759786000564,50.737851631049466,0.0004893795298092932,0.9770023409690799,0.52860097620761,False,True,False
L2 785nm,Vendor,48.0,False,43.57848333333333,47.90298333333333,33,54.05128065809017,4.760617584042585,58.811898242132756,0.00936001861186517,106.83739439709619,1.780623239951603,48.91275384029662,51.77855639043597,0.4196783792060674,0.7399738051112106,0.3630236933404084,False,False,False
L2 785nm,Vendor,49.0,False,43.57848333333333,48.98441666666667,41,53.978817645397115,4.48129523446181,58.460112879858926,0.011037950905277922,90.5965254404093,1.5099420906734882,48.101865585561484,50.532023631871404,0.12489105466944234,0.7762927373293714,0.4307478606736587,False,False,False
L2 785nm,Vendor,50.0,False,43.57848333333333,49.9294,48,54.14718790315584,4.764504785556576,58.911692688712414,0.008536420200299094,117.14512366260539,1.9524187277100897,49.42740712742567,52.56970384874864,0.18421495027149548,0.75314889796857,0.4676737179503465,False,False,False
L2 785nm,Vendor,51.0,False,43.57848333333333,50.87656666666667,55,54.226832283481194,4.881346625925923,59.108178909407115,0.007655265302576134,130.62904556207636,2.1771507593679393,50.10064412756444,53.6046331007759,0.1708952100094848,0.7507951113257773,0.41212113099390757,False,False,False
L2 785nm,Vendor,52.0,False,43.57848333333333,51.959266666666664,63,54.562157175650555,5.448295421182823,60.010452596833375,0.004897690089915815,204.17788419462627,3.4029647365771045,53.77285462046352,59.24971508218703,0.46417855886318327,0.7577902256519042,0.44991026074136253,False,False,False
L2 785nm,Vendor,53.0,False,43.57848333333333,52.90725,70,54.44563811079432,5.237298610243903,59.682936721038224,0.005707628158856519,175.20412545591313,2.920068757598552,52.32622755146802,57.02589691686147,0.21461661131501036,0.751076972184171,0.4262240285900592,False,False,False
L2 785nm,Vendor,54.0,False,43.57848333333333,53.98918333333334,78,54.529999160098534,5.339044765840176,59.86904392593871,0.005178192731651951,193.11757051595475,3.2186261752659124,53.22062564308307,58.40080463550879,0.21024749173535107,0.7279394984647334,0.42022552539742775,False,True,False
L2 785nm,Vendor,55.0,False,43.57848333333333,54.935050000000004,85,54.584950088930064,5.408035683694409,59.99298577262447,0.004861983949588903,205.67735524601093,3.427955920766849,53.84772151749507,59.36480373853018,0.19690365036806481,0.7056006437954513,0.42158713279008253,False,True,False
