scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
76,6,10.42815,Forward,0.5491287806438127,16300.0,16299.670351251167,ok,0.0005454192335109164,0.003429233595043108,14510.373164835428,ok,-17.474154663590525,63.998705752198774,-0.02539022257274154,-14.80788351764022,61.39882869453852,-0.021516088507989778,,,0.0032809664999374553
77,6,10.563433333333334,Forward,0.548885814058847,16295.0,16299.960907947812,ok,0.0005392824161279473,0.002121621414135121,14511.013221335414,ok,-17.183597966944944,63.99912793566571,-0.02496803910579516,-14.167827017654417,61.39975870673692,-0.020586076309595386,,,0.0032809664999374553
78,6,10.698483333333334,Forward,0.548614013288558,16295.0,16300.240806354075,ok,0.000538018463349739,0.0029503939104160272,14510.50565622823,ok,-16.90369956068207,63.99953463246848,-0.02456134230302635,-14.675392124838254,61.39902120662377,-0.02132357642274289,,,0.0032809664999374553
79,6,10.8341,Forward,0.5481181629550029,16300.0,16300.513966330558,ok,0.0005485390812831732,0.0030001495986483858,14510.830733146176,ok,-16.63053958419914,63.999931538226406,-0.02416443654510047,-14.350315206891537,61.3994935485172,-0.02085123452931066,,,0.0032809664999374553
80,6,10.9694,Forward,0.547955117596049,16295.0,16300.795806083743,ok,0.0005473701157952186,0.003194646541015097,14511.768312254208,ok,-16.348699831014528,64.0003410558369,-0.02375491893460832,-13.412736098860478,61.40085586576177,-0.019488917284742467,,,0.0032809664999374553
81,6,11.105233333333333,Forward,0.5475914884710513,16300.0,16301.04139121563,ok,0.0005288633356889786,0.001577271620701699,14511.474677751776,ok,-16.103114699128128,64.00069789491033,-0.023398079861176965,-13.706370601292292,61.40042921019443,-0.0199155728520824,,,0.0032809664999374553
82,6,11.241083333333334,Forward,0.5471814274690399,16300.0,16301.385166240547,ok,0.0005409526437455337,0.003220396268048806,14511.746037656116,ok,-15.759339674210423,64.00119740544837,-0.022898569323148068,-13.435010696952304,61.400823500419115,-0.019521282627396108,,,0.0032809664999374553
83,6,11.37665,Forward,0.5470946892175222,16300.0,16301.569950405423,ok,0.0005404059804147976,0.0023552383790282606,14512.015716351969,ok,-15.57455550933446,64.00146589975692,-0.022630075014585343,-13.16533200109916,61.401215347821335,-0.01912943522518071,,,0.0032809664999374553
84,6,11.510883333333334,Forward,0.5469095623154075,16300.0,16301.787486265886,ok,0.0005523918061892191,0.002786956057319505,14512.10139440878,ok,-15.357019648870846,64.00178198279619,-0.022313991975316357,-13.079653944287202,61.40133983939039,-0.019004943656121393,,,0.0032809664999374553
85,6,11.645683333333332,Forward,0.5465952579386211,16300.0,16302.056387028237,ok,0.0005303745135358999,0.0018150982306883254,14512.790082421914,ok,-15.088118886520533,64.00217269984876,-0.021923274922761013,-12.390965931153914,61.402340513945084,-0.01800426910142792,,,0.0032809664999374553
86,6,11.781,Forward,0.546577017860258,16300.0,16302.247425687852,ok,0.000538807136038522,0.0022856884018866972,14512.972796095186,ok,-14.897080226905018,64.0024502820369,-0.021645692734608427,-12.208252257882123,61.40260599979666,-0.01773878324985078,,,0.0032809664999374553
87,6,11.9163,Forward,0.5460938267572907,16300.0,16302.439424425334,ok,0.0005429586337246223,0.0026812155670170846,14512.545077738514,ok,-14.70508148942281,64.00272925923335,-0.021366715538159775,-12.635970614554026,61.40198451827247,-0.01836026477404575,,,0.0032809664999374553
88,6,12.0511,Forward,0.5459115403701525,16300.0,16302.618617300452,ok,0.000538151576368084,0.002360315249905024,14513.01257644103,ok,-14.525888614305586,64.00298962930964,-0.02110634546188045,-12.168471912038513,61.402663801267146,-0.017680981779368526,,,0.0032809664999374553
89,6,12.1856,Forward,0.545564302074313,16300.0,16302.861151150306,ok,0.0005472992443470422,0.0033717921559467978,14512.791339949372,ok,-14.28335476445136,64.0033420348221,-0.020753939949409304,-12.389708403696204,61.402342341152334,-0.01800244189418057,,,0.0032809664999374553
90,6,12.320916666666667,Forward,0.5453778621407184,16300.0,16303.068835594448,ok,0.0005408542337329036,0.002779663765726369,14513.024299594439,ok,-14.075670320309655,64.00364380359794,-0.02045217117357025,-12.156748758628964,61.402680835194104,-0.01766394785240306,,,0.0032809664999374553
91,6,12.4565,Forward,0.5452459981654584,16300.0,16303.361947858033,ok,0.0005485798750405061,0.003127574528101134,14513.53739736195,ok,-13.782558056724156,64.00406970034399,-0.020026274427518063,-11.643650991118193,61.40342637435005,-0.01691840869646209,,,0.0032809664999374553
92,6,12.591266666666666,Forward,0.5448550098703745,16300.0,16303.506279000727,ok,0.0005419746800114386,0.002660701147255343,14513.46182745927,ok,-13.638226914030383,64.00427941577274,-0.0198165589987764,-11.719220893797683,61.40331657008851,-0.017028212957999878,,,0.0032809664999374553
93,6,12.7274,Forward,0.5444644080263602,16300.0,16303.777952220273,ok,0.0005317901687796484,0.0019006485199146096,14513.928801071288,ok,-13.366553694484537,64.00467416124937,-0.019421813522150007,-11.25224728178,61.40399509011841,-0.016349692928105067,,,0.0032809664999374553
94,6,12.862016666666667,Forward,0.544349618068541,16300.0,16304.072094919546,ok,0.000544049691655219,0.003198915791917402,14514.594741155326,ok,-13.072410995211612,64.00510155523473,-0.01899441953677756,-10.586307197741917,61.40496271157303,-0.015382071473485134,,,0.0032809664999374553
95,6,12.99785,Forward,0.5439127969679389,16300.0,16304.280511611058,ok,0.0005492215312576958,0.003954199669757702,14514.097849819253,ok,-12.863994303699656,64.00540438797756,-0.01869158679395029,-11.083198533815448,61.4042407206178,-0.016104062428713498,,,0.0032809664999374553
